cases,deaths,$S(t)$,$\dot{S}(t)$,$E(t)$,$\dot{E}(t)$,$I(t)$,$\dot{I}(t)$,$R^1(t)$,$\dot{R}^1(t)$,$R^2(t)$,$\dot{R}^2(t)$,$R^2(t)=N-\sum(SEIR^1)$,$R(t)=R^1(t)+R^2(t)$
12,1,64999998.80558973,-3.1648654855718337e-18,0.04921604801145863,-3.164865498691784e-18,0.040899780171465075,-3.164865392269004e-18,1.0933878517120261,-3.1648657210557965e-18,0.010906593686750036,-3.1648657341757462e-18,0.010906592011451721,1.1042944453987762
14,1,64999994.13650554,-8.086271059408573e-06,0.7323128731383346,-8.086270717127563e-07,0.5600305823654469,1.1995427536613377,4.403654736201167,4.79817255103672,0.16749626364931075,-8.086270576752685e-08,0.16749627143144608,4.571150999850478
17,2,64999985.85334595,-4.1546720100320164e-05,2.9390362988614576,0.5182094444121652,1.787015717829684,3.7819404840763164,8.708582414658203,12.018488235677943,0.7120196209135641,-4.15467171015787e-07,0.712019607424736,9.420602035571767
38,2,64999957.27226239,-0.00021287316252221374,12.561227737383142,4.099120721084402,7.116516296101356,13.243305971932118,19.83996286192127,31.43724357367968,3.2100307073763017,-2.1287959304233713e-06,3.21003071218729,23.04999356929757
57,2,64999901.66826875,-0.0006880974833846451,34.849386764350726,12.89930063497322,19.01861765120983,29.914518130805355,34.799970653233196,56.962221892845065,9.663756186506056,-6.88336321726495e-06,9.663756176829338,44.46372683973925
100,2,64999761.10442714,-0.002222014165571929,96.35628505639605,37.72867588178899,51.814349283790015,68.1877021789911,62.06938926125781,100.92083769153605,28.655549267005874,-2.2248300857599502e-05,28.655549257993698,90.72493852826369
130,2,64999535.64527503,-0.0050006792818080605,200.91534583115214,74.22139262994824,106.95146118711676,117.16503628510992,92.26075442356499,143.04963122205453,64.22716352275835,-5.01763402587418e-05,64.22716353088617,156.48791794632334
178,3,64999131.95636997,-0.010316689397760806,393.2797666340683,134.05887645511189,208.39545823682204,189.9323659303542,132.78880503866745,189.37136341395228,133.57960011217978,-0.0001040193404348574,133.57960011810064,266.36840515084725
212,4,64998587.30492456,-0.016888292757821395,656.1525753184299,197.82738232921264,346.6115123025896,261.9462499940045,174.57432572229163,222.29830089031026,235.35666207149376,-0.00017172120868097412,235.35666208714247,409.9309877937854
285,4,64997644.243712574,-0.028593426442385807,1114.2540722023937,298.8767834134569,587.9331608959457,369.57048941249457,236.30676144877452,255.39468568745966,417.2622928263606,-0.0002962217974773981,417.26229287683964,653.5690542751352
423,7,64995781.76115349,-0.05395485070194984,2023.2646422614043,487.6437543296706,1067.1019691958902,561.0409102321418,344.2216348955217,289.2567711368457,783.6506001472769,-0.0005800376359270439,783.6506001576781,1127.8722350427986
613,9,64992636.622519374,-0.10033469951386782,3558.587193450182,758.9689729040582,1875.9327899040413,824.7142581269297,509.75358675458557,304.39708374774426,1419.103910528955,-0.0011302866782613395,1419.1039105132222,1928.8574972835406
