cases,deaths,$S(t)$,$\dot{S}(t)$,$E(t)$,$\dot{E}(t)$,$I(t)$,$\dot{I}(t)$,$R^1(t)$,$\dot{R}^1(t)$,$R^2(t)$,$\dot{R}^2(t)$,$R^2(t)=N-\sum(SEIR^1)$,$R(t)=R^1(t)+R^2(t)$
15,0,64999998.50698713,-3.1648654234208557e-18,0.06152006982468328,-3.164865439820793e-18,0.051124729046720836,-3.1648653067923183e-18,1.366734818310527,-3.164865717775809e-18,0.013633246720151685,-3.1648657341757462e-18,0.013633251190185547,1.3803680650306787
17,0,64999992.850109965,-1.2243160394772147e-05,0.8898773017434395,-1.2243159980647924e-06,0.6800045354673548,1.4529508710388386,5.376388134425494,5.811805810355668,0.20362004798255495,-1.224315981699536e-07,0.2036200612783432,5.580008182408049
21,0,64999982.58900813,-6.310106255682566e-05,3.6184649620037703,0.6427791659060565,2.2009848537600423,4.656123300506177,10.715432383809132,14.767792335153837,0.8761096836795844,-6.310105892179611e-07,0.8761096745729446,11.591542067488716
47,0,64999947.195218034,-0.0003239347132579105,15.532210568065613,5.07868440707011,8.80058488390208,16.376536030462,24.503968736508625,38.82308018634729,3.9680177729505424,-3.2394467526773062e-06,3.968017779290676,28.471986509459168
57,0,64999896.41638442,-0.0008344677251866548,36.14549417951381,12.743520339612612,19.6644988958933,30.896946547853126,37.66405484490859,61.05501328319834,10.109567656586169,-8.347240033206043e-06,10.109567657113075,47.773622501494756
111,0,64999739.70551004,-0.002786074263654935,104.60297611634107,40.70455841366256,56.260067371351305,73.99744874645886,68.2852689073238,110.55805071130759,31.146177516199412,-2.7898907362046104e-05,31.14617756009102,99.43144642352321
129,0,64999530.576690316,-0.005515123434321298,201.79082618124977,73.04299103390584,107.33835165269535,117.39928866178036,95.55691438063702,147.89098669707505,64.73721744239343,-5.534396312620599e-05,64.73721747100353,160.29413182303045
157,0,64999219.445002794,-0.009444117793238546,350.1046498865711,114.78183179362685,185.32657607071718,168.1571875375854,125.46351601570075,180.20211292780775,119.66025521731848,-9.51697466536053e-05,119.66025523096323,245.12377123301923
196,0,64998734.59873378,-0.015194307789984221,584.0244208800416,171.5782566034572,308.45784417234654,232.29748241099318,162.666238500082,209.52901051452443,210.25276264905077,-0.0001546103573703307,210.25276266038418,372.9190011491328
262,0,64997888.146125525,-0.02513920170489447,995.20960179852,262.6587518006005,525.1128882292661,329.304149281783,218.11055971137762,239.3603076075503,373.42082472767146,-0.0002611373779070265,373.42082473635674,591.5313844390491
400,0,64996096.43108901,-0.048203603756056215,1870.347784801681,449.4304511090379,986.5516899377456,518.7506156601235,322.0544150525294,272.8644520444629,724.6150211649376,-0.0005212423529118108,724.615021198988,1046.6694362174671
684,0,64992039.42710004,-0.11008365237777247,3857.659339183759,843.1728125639477,2034.3711237446755,901.3884475170914,534.1708976812115,294.83573947340415,1534.3715394241804,-0.0012582803231319898,1534.3715393543243,2068.542437105392
847,0,64987749.69053327,-0.17355006505978152,5941.158164251263,1110.0906123005068,3130.359214415501,1150.7624296310814,749.8730810650416,280.70556098361345,2428.9190070475734,-0.002042712974626332,2428.9190069958568,3178.7920881126147
902,0,64984981.583617814,-0.17169017319039517,7252.606909745408,1104.710016568711,3818.3412678169125,1145.92133769174,903.9506773724579,281.5279216867117,3043.51752725321,-0.0020182818601078116,3043.5175272524357,3947.468204625668
1139,2,64980925.338274255,-0.1945520744522652,9185.636319112848,1155.8072018192347,4835.73166449462,1190.2192606890223,1119.93565434161,268.87798576221473,3933.358087844816,-0.0023620261073172277,3933.3580877929926,5053.293742186426
1296,2,64977520.08597767,-0.15429274761609102,10781.340502681014,1085.0698022071779,5674.732406279861,1131.140828386653,1323.7974923105328,292.8722102452554,4700.0436210905455,-0.001640058022177312,4700.043621055782,6023.8411134010785
1567,3,64973012.34015498,-0.1262658471350021,12905.349273777003,1044.8658798547233,6792.908373206263,1098.81080636792,1583.8843252435547,310.1068287094449,5705.517872775665,-0.0010329037447876525,5705.517872788012,7289.402198019219
2369,5,64959994.80123893,-0.4718854856181989,19182.987250208607,1450.8852800163713,10102.360010488814,1412.996536778129,2185.413945156037,100.5581033578732,8534.437555259123,-0.009984292986278119,8534.437555216253,10719.85150041516
3062,5,64945043.38840742,-0.842129265640921,26356.276266440727,1762.4513928820852,13880.355873686269,1644.9129169137589,2910.027046059027,-86.69766040446726,11809.952406562492,-0.020250459889179735,11809.952406391501,14719.97945262152
3795,8,64929491.88530521,-1.0947597075084583,33766.69074270395,1910.4795943307442,17782.113771712884,1750.908212482031,3717.261025606457,-187.7405027107663,15242.049154718987,-0.027401337346529907,15242.049154765904,18959.310180325443
4838,12,64909752.20079428,-1.49128386624407,43166.06895292708,2077.4619657249646,22733.855230516692,1865.996465531254,4744.0074894160725,-314.6250609511649,19603.867532849177,-0.03912582334201956,19603.867532864213,24347.87502226525
6012,13,64887150.93094783,-1.7789432001597967,53893.292948703034,2166.113939705962,28385.777509934014,1924.8792466779096,5958.833726967415,-388.3766734573476,24611.164866463558,-0.04817610359130012,24611.164866566658,30569.998593430973
7156,13,64865162.05545073,-1.1674794102565054,64247.5552745455,2024.5896888480686,33840.30141050042,1834.1289999723028,7245.82151905402,-261.2860243445922,29504.26634523101,-0.027439357450538444,29504.26634516567,36750.08786428503
8198,13,64846647.80491003,1.3006807637746192,72841.04116551725,1576.4455081098197,38365.64066875433,1556.0610236795694,8496.927667570406,167.87217785471978,33648.58558843726,0.06476311190271473,33648.585588127375,42145.51325600766
14138,43,64751837.40526268,-13.054382899621515,118482.42672322401,3735.532765022579,62475.748893829645,2855.893993420771,12634.524343199342,-2013.9946405026938,54569.89477778139,-0.5430908610500473,54569.894777067006,67204.41912098073
