country,firstcasedate,confdate,deconfdate,otherdate
#Albania,2020-03-08,2020-03-13,2020-06-01,
#Bulgaria,2020-03-08,2020-03-18,,
#Denmark,2020-02-27,2020-03-18,,
#Estonia,2020-02-27,2020-03-23,,
#Lithuania,2020-03-27,2020-03-16,2020-04-27,
#Luxembourg,2020-02-28,2020-03-15,,
#Netherlands,2020-02-26,2020-03-30,,
#Slovakia,2020-03-06,2020-03-15,,
#Slovenia,2020-03-05,2020-03-16,,
Austria,2020-02-24,2020-03-16,2020-04-13,
Belgium,2020-02-04,2020-03-18,2020-05-04,
Croatia,2020-02-24,2020-03-18,2020-04-19,
Czechia,2020-03-01,2020-03-16,2020-04-12,
Finland,2020-01-24,2020-03-27,2020-04-16,
France,2020-01-22,2020-03-17,2020-05-11,
Germany,2020-01-25,2020-03-23,2020-04-20,
Greece,2020-02-25,2020-03-23,2020-05-04,
Hungary,2020-03-04,2020-03-28,2020-04-10,
Ireland,2020-02-28,2020-03-12,2020-05-18,
Italy,2020-01-30,2020-03-09,2020-05-18,
Poland,2020-03-04,2020-03-13,2020-04-11,
Portugal,2020-03-02,2020-03-19,2020-04-02,
Romania,2020-02-25,2020-03-25,2020-05-12,
Serbia,2020-03-06,2020-03-15,2020-04-21,
Spain,2020-02-01,2020-03-14,2020-05-09,
Switzerland,2020-02-24,2020-03-13,2020-05-11,
Ukraine,2020-03-03,2020-03-17,2020-04-24,
